"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"199","Two","60","'Don't be depressing, man,' I said. 'We made forty bucks on the bat and four on the two balls. We are forty-four bucks in profit, sir.' We sold some candy and two more balls in the next two hours. Our total profit for the  day  was  fifty  bucks.  We  moved  the  bats  and  the  ball  baskets  inside  and closed  shop  at  7.00  p.m.,  after  the puja. To  celebrate  our  opening  we  chose  the chana-bhatura stall. At four bucks a plate, I could expense it to the business.","95","8","30","{""VERB"": 15, ""ADV"": 1, ""."": 7, ""NOUN"": 24, ""PRON"": 10, ""ADP"": 9, ""DET"": 11, ""CONJ"": 4, ""NUM"": 6, ""ADJ"": 6, ""PRT"": 2}"
"200","Two","61","'Do I get to take some money home? I really want to give mom my first salary,' Omi said as he tucked in half a chili with his hot bhatura.","32","2","10","{""PRT"": 3, ""PRON"": 5, ""VERB"": 6, ""DET"": 3, ""NOUN"": 6, ""ADV"": 1, ""ADJ"": 3, ""."": 2, ""ADP"": 3}"
"201","Two","62","""Wait, this isn't real profit. This is contribution. We earn th< rent first and then we will see.' I placed my empty plate back a the stall. 'Congrats guys, we are in business.' Three Months Later 'Eight thousand three, four and five hundred,' I said as I emptied the cashier's box. 'This  is our  profit for the first  three months  after  paying  rent. Not  bad, not bad at all.' I  was  super-pleased.  Our  shop  had  opened  at  an  opportune<  time.  The summer vacations had started and India had won the one-day series with South Africa.  Kids with lots of time  and patriotism  flocked  to  Team India Cricket Shop the day they received their pocket money.","129","12","41","{""."": 8, ""NOUN"": 37, ""DET"": 11, ""VERB"": 20, ""ADV"": 7, ""ADJ"": 10, ""PRON"": 12, ""CONJ"": 4, ""PRT"": 4, ""ADP"": 9, ""NUM"": 6, ""X"": 1}"
"202","Two","63","Some  came  even  without  money,  if  only  to  meet  Ish  and  ge  tips  on  cricket.  I didn't  mind  as  it  helped  us  pass  the  time.  The  dull  aspect  of  opening  a  shop  is boredom. We opened from nine to seven, and even with twenty customers a day it meant only around two customers an hour.","58","4","20","{""DET"": 6, ""VERB"": 10, ""ADV"": 6, ""ADP"": 8, ""NOUN"": 12, ""."": 2, ""PRT"": 2, ""CONJ"": 2, ""ADJ"": 2, ""PRON"": 5, ""NUM"": 3}"
"203","Two","64","'So we get our share now?' Omi said excitedly.","10","2","3","{""VERB"": 3, ""PRON"": 2, ""NOUN"": 2, ""ADV"": 2, ""PRT"": 1}"
"204","Two","65","I  divided  the  money  into  four  stacks.  The  first  three  stacks  were  fifteen hundred  rupees  each - the  money  each  of  us  could  take  home.  The  remaining four thousand was to be retained in the business.","36","3","12","{""PRON"": 2, ""VERB"": 8, ""DET"": 7, ""NOUN"": 8, ""ADP"": 3, ""NUM"": 3, ""ADJ"": 3, ""."": 1, ""PRT"": 1}"
"205","Two","66","'What do you mean retained? What do we need to retain it for?' Ish questioned even as Omi happily counted his notes.","23","3","9","{""DET"": 1, ""VERB"": 8, ""PRON"": 5, ""PRT"": 1, ""ADP"": 2, ""."": 1, ""NOUN"": 3, ""ADV"": 2}"
"206","Two","67","'Ish, we need to keep a war chest in case we want to renovate the store. Don't you want a better glass countertop? Or nice lighting?' Ish shook his head.","33","4","10","{""NOUN"": 10, ""."": 2, ""PRON"": 4, ""VERB"": 8, ""PRT"": 2, ""DET"": 3, ""ADP"": 1, ""ADV"": 2, ""ADJ"": 1}"
"207","Two","68","'Sure we do. And ... I have expansion plans,' I said. 'What?' 'There is a new shopping mall under construction at Navrangpura char rasta. If you book early, you can get a discount on renting a shop.' 'Renting?  But  we  already  have  a shop,'  Ish  said,  puzzled  and  irritated  at  the same time.","61","8","20","{""NOUN"": 15, ""PRON"": 7, ""VERB"": 12, ""CONJ"": 3, ""."": 9, ""DET"": 6, ""ADJ"": 2, ""ADP"": 5, ""ADV"": 2}"
"208","Two","69","I  knew  why  Ish  grumbled.  He  wanted  to  buy  a  TV  for  the  shop,  listening  to matches on radio during shop hours was no fun.","26","2","10","{""PRON"": 2, ""VERB"": 6, ""ADV"": 1, ""NOUN"": 8, ""PRT"": 2, ""DET"": 3, ""ADP"": 3, ""."": 1}"
"209","Two","70","'No Ish, a proper shop. Young people like to shop in swanky malls. That is the future.  Our  shop  has  been  doing  good  business,  hut  we  can't  grow  unless  we move to a new city location.' 'I like it here,' Omi said. 'This is our neighbourhood. What we sell is being used by kids in Nana Park.' 'I don't want this short-sighted mentality. I will open a store in a mall, and by next year have one more store. If you don't grow in business, you stagnate.' 'Another shop? What? We will not be working together?' Omi said.","113","14","38","{""NUM"": 2, ""NOUN"": 22, ""."": 8, ""DET"": 8, ""ADJ"": 8, ""ADP"": 10, ""PRT"": 6, ""VERB"": 27, ""PRON"": 14, ""ADV"": 6, ""CONJ"": 2}"
"210","Two","71","'It  is  Govind's  bullshit.  We  have  only  started  and  he  already  aspires  to  be Ambani.  Can't  we  just  buy  a  TV?'  Ish  said,  'Shah Electronics  will  give  us  on instalment if we pay a down-payment of four thousand.' 'No way. We keep the four thousand for business.' 'Well, the TV belongs to the business, no?' Ish said.","66","8","22","{""NOUN"": 18, ""VERB"": 12, ""PRT"": 5, ""PRON"": 6, ""ADV"": 4, ""CONJ"": 1, ""DET"": 6, ""."": 6, ""ADP"": 4, ""NUM"": 2, ""ADJ"": 1, ""X"": 1}"
"211","Two","72","'Yes,  but  it  is  a  dead  asset.  It  doesn't  earn.  We  have  a  long  way  to  go.  Three thousand  a  month  is  nothing.  And  Ish  doesn't  let  me  keep  notebooks  and pencils...' 'I said this is a sports store. I don't want kids to think about studies when they come here.' Ish  and  I  had  argued  about  this  before.  I  saw  an  easy  opportunity,  but  Ish protested every time.","78","8","29","{""NUM"": 1, ""."": 4, ""CONJ"": 5, ""PRON"": 9, ""VERB"": 20, ""DET"": 8, ""ADJ"": 3, ""NOUN"": 16, ""ADV"": 5, ""PRT"": 4, ""ADP"": 3}"
"212","Two","73","'Ok, here is a deal,' Ish said, 'I agree to the notebooks, not textbooks mind you, only notebooks. But we buy a TV. I have to watch matches. I don't care, here take my fifteen hundred.' He threw his share of cash at me.","54","5","19","{""NOUN"": 9, ""."": 8, ""ADV"": 6, ""VERB"": 12, ""DET"": 3, ""PRON"": 9, ""PRT"": 3, ""CONJ"": 1, ""ADJ"": 1, ""ADP"": 2}"
"213","Two","74","Omi tossed in his money as well. As usual, I had to surrender to fools.","16","2","6","{""NOUN"": 2, ""VERB"": 4, ""ADP"": 2, ""PRON"": 2, ""ADV"": 2, ""ADJ"": 1, ""."": 1, ""PRT"": 2}"
"214","Two","75","'Ok,  but  we  need  to  increase  the  revenue.  Target  for  next  quarter  is  twenty thousand bucks.' They  ignored me as they discussed  TV  brands.  I  shook my  head and  outlined my strategy for increasing revenues.","37","4","13","{""NUM"": 1, ""."": 1, ""CONJ"": 2, ""PRON"": 7, ""VERB"": 7, ""PRT"": 2, ""DET"": 1, ""NOUN"": 10, ""ADP"": 3, ""ADJ"": 3}"
"215","Two","76","'Will you do coaching classes?' I asked Ish.","9","2","2","{""VERB"": 4, ""PRON"": 2, ""NOUN"": 2, ""PRT"": 1}"
"216","Two","77","'What?' 'Kids love your cricket tips. Why not do cricket coaching for a fee?' 'Me? I am not that good man. And where? In the temple?' 'No, we will do it in the abandoned SBI compound.' 'Why? Aren't we making enough?' Omi said. 'We can never make enough. I want to get to fifty thousand a quarter. Omi, you can give fitness training to the students.' 'So more work for us. What about you?' Ish said. 'I am going to start offering maths tuitions again.' 'Here?' 'Yes,  a  couple  here, or  in  the  SBI  compound  itself  while  you  guys  give  cricket coaching.' Omi and Ish looked at me like I was the hungriest shark in the world.","133","21","47","{""DET"": 10, ""."": 11, ""NOUN"": 28, ""VERB"": 27, ""PRON"": 17, ""ADV"": 10, ""ADP"": 11, ""PRT"": 9, ""ADJ"": 6, ""CONJ"": 3, ""X"": 1}"
"217","Two","78","'C'mon guys. I am making sure we have a solid healthy business.' 'It  is  ok.  Just  the  shop  is  so  boring,  Ish,'  Omi  said.  He  was  excited  about making kids do push-ups.","37","4","11","{""PRT"": 2, ""NOUN"": 10, ""PRON"": 3, ""VERB"": 10, ""ADJ"": 5, ""DET"": 2, ""ADV"": 1, ""."": 3, ""ADP"": 1}"
"218","Two","79","'Yeah, at least I will get to hit the pitch,' Ish said.","15","1","4","{""NOUN"": 3, ""."": 3, ""ADP"": 1, ""ADJ"": 1, ""PRON"": 1, ""VERB"": 4, ""PRT"": 1, ""DET"": 1}"
"219","Two","80","I tossed in my fifteen hundred, too, and we bought a TV the same day. We set it permanently at the sports channel. Omi brought mats and cushions and spread them in front of the TV. On match days, we would all sit there until a customer arrived. I had to admit, it made the day go by much quicker.","64","5","27","{""PRON"": 9, ""VERB"": 13, ""ADP"": 7, ""ADJ"": 3, ""."": 4, ""ADV"": 2, ""CONJ"": 3, ""DET"": 8, ""NOUN"": 14, ""PRT"": 1}"
"220","Two","81","I changed the board on the shop. Under the 'Team India Cricket Shop', it also said 'Stationery,  Cricket Coaching  and  Maths Tuitions available'.  I  may not have diversified geographically, but I had diversified my product offering.","41","3","11","{""PRON"": 5, ""VERB"": 7, ""DET"": 3, ""NOUN"": 12, ""ADP"": 2, ""PRT"": 2, ""."": 3, ""ADV"": 3, ""X"": 1, ""CONJ"": 2, ""ADJ"": 1}"
"221","Three","1","Apart  from  cricket,  badminton  was  the  other  popular  game  in  Belrampur.  In fact,  the  girls  only  played  badminton.  It  was  an  excellent  turnover  business.","26","3","9","{""ADV"": 2, ""ADP"": 3, ""NOUN"": 9, ""."": 2, ""VERB"": 3, ""DET"": 3, ""ADJ"": 3, ""PRON"": 1}"
"222","Three","2","Shuttle  cocks  needed  to  be  replaced,  rackets  needed  rewiring  and  badminton rackets didn't last as long as cricket bats.","21","1","6","{""NOUN"": 8, ""VERB"": 5, ""PRT"": 1, ""."": 1, ""CONJ"": 1, ""ADV"": 3, ""ADJ"": 1, ""ADP"": 1}"
"223","Three","3","School stationery became the other hit item in the following weeks. Only some kids  played  sports,  but  every  kid  needed  notebooks,  pens  and  pencils,  and parents  never  said  no  to  that.  Many  times,  someone  buying  a  ball  would  buy  a notebook,  or  the  other  way  round.  We  offered  a total  solution.  Soon,  suppliers came  to  us  themselves.  They  kept  stuff  on  credit  and  returnable  basis - chart paper, gum  bottles,  maps of  India, water  bottles  and tiffin  boxes.  It  is only  after you  open  a  shop  that  you  realise  the  length  and  breadth  of  the  Indian  student industry.","107","7","34","{""ADJ"": 8, ""NOUN"": 36, ""VERB"": 13, ""DET"": 13, ""ADP"": 7, ""ADV"": 4, ""."": 10, ""CONJ"": 7, ""PRT"": 2, ""PRON"": 7}"
"224","Three","4","We  kept  the  cricket  coaching  and  tuitions  at  the  same  price -250  rupees  a month. Customers for maths tuitions were easier to get, given the higher demand and my track record. I taught at the SBI compound building in the mornings. Ish used  the  compound  grounds  for  the  two  students  who  signed  up  for  cricket tuitions.","57","4","22","{""PRON"": 4, ""VERB"": 9, ""DET"": 8, ""NOUN"": 20, ""CONJ"": 2, ""ADP"": 6, ""ADJ"": 4, ""PRT"": 2, ""."": 1, ""NUM"": 1}"
"225","Three","5","They were the best players in the Belrampur Municipal School and had fought with their parents to let them try coaching for three months.","24","1","11","{""PRON"": 3, ""VERB"": 6, ""DET"": 2, ""ADJ"": 1, ""NOUN"": 6, ""ADP"": 3, ""CONJ"": 1, ""PRT"": 1, ""NUM"": 1}"
"226","Three","6","Of course, we still spent most of our time in the shop.","13","1","6","{""ADP"": 3, ""NOUN"": 3, ""."": 1, ""PRON"": 2, ""ADV"": 1, ""VERB"": 1, ""ADJ"": 1, ""DET"": 1}"
"227","Three","7","'Should we do greeting cards?' I wondered as I opened a sample packet left by a supplier.  At  five-rupee  retail  price  and  two-rupee  cost  price,  cards  had  solid margins. However, people in Belrampur did not give each other greeting cards.","43","4","13","{""VERB"": 9, ""PRON"": 3, ""NOUN"": 13, ""PRT"": 1, ""ADP"": 4, ""DET"": 3, ""ADJ"": 5, ""CONJ"": 1, ""."": 2, ""ADV"": 2}"
"228","Three","8","'This is in-swinger, and this is off-swinger. By the way, this is the third ball in two  weeks.  What's  up  Tapan?'  Ish  asked  a  regular  customer.  Thirteen-year-old Tapan was one of the best bowlers of his age in the Belrampur Municipal School.","46","5","18","{""."": 3, ""VERB"": 6, ""NOUN"": 14, ""CONJ"": 1, ""DET"": 7, ""ADJ"": 4, ""ADP"": 5, ""NUM"": 2, ""PRON"": 2, ""PRT"": 2}"
"229","Three","9","Ish gripped the cricket ball and showed him the wrist movement.","11","1","4","{""NOUN"": 5, ""VERB"": 2, ""DET"": 2, ""CONJ"": 1, ""PRON"": 1}"
"230","Three","10","'It is that nightmare Ali. Ball keeps getting lost with his shots. Why did he move to our school?' Tapan grumbled as he rubbed the ball on his shorts.","30","4","13","{""NOUN"": 8, ""VERB"": 8, ""ADP"": 4, ""ADJ"": 1, ""PRON"": 5, ""ADV"": 1, ""PRT"": 1, ""."": 1, ""DET"": 1}"
"231","Three","11","'Ali? New student? Haven't seen him here,' Ish said. All good players visited our store and Ish knew them personally.","23","4","5","{""NUM"": 1, ""NOUN"": 6, ""VERB"": 5, ""ADV"": 3, ""PRON"": 3, ""."": 2, ""DET"": 1, ""ADJ"": 1, ""CONJ"": 1}"
"232","Three","12","'Yes, batsman. Just joined our school. You should come see him. He wouldn't come here, right?' Tapan said.","22","5","4","{""NUM"": 1, ""."": 2, ""NOUN"": 4, ""VERB"": 7, ""PRON"": 4, ""ADV"": 2, ""ADJ"": 1, ""PRT"": 1}"
"233","Three","13","Ish  nodded.  We  had  few  Muslim  customers.  Most  of them  used  other  Hindu boys to make their purchases.","18","3","7","{""NOUN"": 5, ""VERB"": 5, ""PRON"": 3, ""ADJ"": 3, ""ADP"": 1, ""PRT"": 1}"
"234","Three","14","'You  want  to  sign  up  for  cricket  tuitions.  Ish  will  teach  you,  he  played  at  the district level,' I could not help pitching our other service.","29","2","11","{""ADV"": 2, ""VERB"": 8, ""PRT"": 2, ""ADP"": 2, ""NOUN"": 6, ""PRON"": 4, ""."": 3, ""DET"": 1, ""ADJ"": 1}"
"235","Three","15","'Mummy will not allow. She said I can only take tuitions for studies. No sports coaching,' Tapan said.","20","3","5","{""NOUN"": 6, ""VERB"": 7, ""ADV"": 2, ""PRON"": 2, ""ADP"": 1, ""."": 2}"
"236","Three","16","'It is ok, have a good game,' Ish said, ruffling the boy's hair.","18","1","4","{""NOUN"": 5, ""VERB"": 4, ""ADJ"": 2, ""."": 4, ""DET"": 2, ""PRT"": 1}"
"237","Three","17","'You see this. That is why India doesn't win every match,' Ish said after Tapan left.","19","2","5","{""PRT"": 1, ""VERB"": 6, ""DET"": 3, ""ADV"": 2, ""NOUN"": 4, ""."": 2, ""ADP"": 1}"
"238","Three","18","Yes, Ish has this ridiculous theory that India should win every match. 'Well, we don't have to. It won't be much of a game otherwise,' I said and closed the cash box.","38","3","13","{""X"": 1, ""."": 4, ""NOUN"": 8, ""VERB"": 9, ""DET"": 4, ""ADJ"": 1, ""ADP"": 2, ""PRON"": 3, ""ADV"": 4, ""PRT"": 1, ""CONJ"": 1}"
"239","Three","19","'Our country has a billion people. We should always win,' Ish insisted.","14","2","3","{""ADJ"": 1, ""NOUN"": 3, ""VERB"": 4, ""DET"": 1, ""NUM"": 1, ""PRON"": 1, ""ADV"": 1, ""."": 2}"
"240","Three","20","'Statistically impossible.' 'Why?  Australia  has  twenty  million  people.  Yet  they  win  almost  every  match.","15","4","2","{""ADV"": 2, ""ADJ"": 1, ""."": 1, ""PRT"": 1, ""NOUN"": 3, ""VERB"": 3, ""NUM"": 1, ""CONJ"": 1, ""PRON"": 1, ""DET"": 1}"
"241","Three","21","We  have  fifty  times  the  people,  so  fifty  times  the  talent.  Plus,  cricket  is  India's only  game  while  Australia  has  rugby  and  football  and  whatever.  So  there  is  no way we should be defeated by them. Statistically, my friend, Australia should be a rounding error.' 'Then why?' I said.","56","6","23","{""PRON"": 5, ""VERB"": 13, ""NOUN"": 14, ""DET"": 6, ""."": 6, ""ADV"": 4, ""ADJ"": 2, ""PRT"": 2, ""ADP"": 2, ""CONJ"": 2}"
"242","Three","22","'Well,  you  saw  that  kid.  Parents  will  spend  thousands  teaching  kids  useless trigonometry  and  calculus  they  will  never  use  in  real  life.  But  if  it  is  sports coaching, it is considered a waste of money.' 'Don't worry, we have them covered. Our shop now offers both.' 'It is not about the business Govind. Really, is this just about money for you?' 'Money is nice...' 'These  kids,  Govind.  Look  at  them,  thirteen-year-olds  holding  their  bats  with pride. Or the way they want to learn to bowl better. They have a fire in their eyes before  every  little  match  at  Nana  Park.  When  India  wins,  they  dance.  They  are they only people Ij see with passion. I like being with them.' 'Whatever,' I shrugged.","138","15","52","{""ADV"": 9, ""."": 15, ""PRON"": 19, ""VERB"": 29, ""ADP"": 15, ""NOUN"": 32, ""ADJ"": 6, ""CONJ"": 3, ""DET"": 7, ""PRT"": 3}"
"243","Three","23","'Of course, in two years time they will reach Class X. Their bats will be replaced with physics books. And then the spark will begin to die. Soon, they will turn into depressed adults.' 'That is not true, Ish. Everyone needs a passion. I have mine.' 'Then  why  are  most  grown-ups  so  grumpy?  Why  can't  they  smile  more  often and  be  excited  like  those  kids  at  Nana  Park?'  'Can  you  stop  being  grumpy  now and help me clean the shop?' 'Ok, ok, we will do a booze party,' I laughed. Omi and Ish had gripped me tight from both sides until I relented.","115","12","43","{""ADJ"": 7, ""NOUN"": 26, ""."": 8, ""ADP"": 7, ""NUM"": 1, ""PRON"": 11, ""VERB"": 30, ""CONJ"": 4, ""ADV"": 11, ""DET"": 6, ""PRT"": 4}"
"244","Three","24","'Where  is  my  son  Omi?'  Bittoo  Mama  entered  our  shop  at  (losing  time  and proceeded to hug his nephew. He held a box of sweets in a red velvet cloth.","32","3","11","{""DET"": 3, ""VERB"": 6, ""PRON"": 4, ""NOUN"": 11, ""PRT"": 2, ""ADP"": 3, ""."": 1, ""CONJ"": 1, ""ADJ"": 1}"
"245","Three","25","'Where  were  you,  Mama?'  Omi  said.  Since  the  shop  opened,  he  had  never visited us.","18","3","5","{""DET"": 2, ""VERB"": 5, ""PRON"": 3, ""."": 2, ""NOUN"": 3, ""PRT"": 1, ""ADP"": 1, ""ADV"": 1}"
"246","Three","26","'I toured all over Gujarat, with Parekh-ji. What an experience! Here, have some besan  ladoos.  Fresh  from  Baroda,'  Bittoo  Mama  said.  I  ordered  a  Frooti.  Ish pulled out stools and we sat outside. I picked a ladoo.","42","7","12","{""PRT"": 2, ""PRON"": 5, ""VERB"": 7, ""DET"": 5, ""ADP"": 4, ""NOUN"": 11, ""."": 4, ""ADV"": 1, ""ADJ"": 2, ""CONJ"": 1}"
"247","Three","27","'What  is this,  Omi? Wearing  shoes?' Bittoo Mama's eyes were lined with kohl.","16","3","4","{""DET"": 2, ""VERB"": 3, ""."": 1, ""NOUN"": 7, ""PRT"": 2, ""ADP"": 1}"
"248","Three","28","He had a red tikka in the middle of his forehead.","11","1","6","{""PRON"": 2, ""VERB"": 1, ""DET"": 2, ""ADJ"": 1, ""NOUN"": 3, ""ADP"": 2}"
"249","Three","29","'Mama?'  Omi  squeaked.  I  looked  at  my  feet.  I  wore  fake  Reebok  slippers.  Ish wore his old sneakers.","19","5","3","{""PRT"": 1, ""."": 1, ""NOUN"": 6, ""VERB"": 4, ""PRON"": 4, ""ADP"": 1, ""ADJ"": 2}"
"250","Three","30","'Your shop is in a temple, and you are wearing shoes? A Brahmin priest's boy?' 'Mama, c'mon this is outside the temple. None of the other shopkeepers wear...' 'Other shopkeepers are useless baniyas so you will also become like them? Do you do puja every morning before you open?' 'Yes, Mama,' Omi lied point-blank.","64","6","21","{""NUM"": 3, ""NOUN"": 16, ""VERB"": 13, ""ADP"": 6, ""DET"": 5, ""."": 9, ""CONJ"": 1, ""PRON"": 5, ""PRT"": 2, ""ADJ"": 3, ""ADV"": 1}"
"251","Three","31","'You also,' Mama said, referring to Ish and me. 'You are Hindu hoys. You have your shop in such a pure place. At least remove your shoes, light a lamp.' 'We come here to work, not to perform rituals,' I said. I now paid full rent every month to be in this shop. Nobody told me how to run my business.","69","7","24","{""NOUN"": 15, ""ADV"": 5, ""."": 8, ""VERB"": 15, ""PRT"": 6, ""CONJ"": 1, ""PRON"": 8, ""ADP"": 3, ""ADJ"": 4, ""DET"": 4}"
"252","Three","32","Mama looked surprised. 'What is your name?' 'Govind.' 'Govind what?' 'Govind Patel.' 'Hindu, no?' '1  am  agnostic,'  I  said,  irritated  as  I  wanted  to  shut  the  shop  and  go  home.","40","7","9","{""NOUN"": 6, ""VERB"": 8, ""ADJ"": 3, ""PRON"": 5, ""."": 6, ""PRT"": 6, ""ADP"": 2, ""DET"": 2, ""NUM"": 1, ""CONJ"": 1}"
"253","Three","33","'Agno...?' 'He is not sure if there is God or not,' Ish explained.","17","2","7","{""."": 5, ""PRT"": 1, ""VERB"": 3, ""ADV"": 2, ""ADJ"": 1, ""ADP"": 1, ""DET"": 1, ""NOUN"": 2, ""CONJ"": 1}"
"254","Three","34","'Doesn't  believe  in  God?  What  kind  of  friends  do  you  have  Omi?'  Mama  was aghast.","17","3","6","{""NOUN"": 6, ""ADV"": 2, ""VERB"": 4, ""ADP"": 2, ""PRON"": 2, ""PRT"": 1}"
"255","Three","35","'No, that is an atheist,' I clarified. 'Agnostic means maybe God exists, maybe he doesn't. I don't know.' 'You young kids,' Bittoo said, 'such a shame. I had come to invite you and look at you.' Omi looked at me. I turned my gaze away.","56","7","16","{""NUM"": 1, ""."": 9, ""DET"": 4, ""VERB"": 13, ""NOUN"": 8, ""PRON"": 9, ""ADJ"": 3, ""ADV"": 5, ""PRT"": 1, ""CONJ"": 1, ""ADP"": 2}"
"256","Three","36","'Don't worry about Govind, Mama. He is confused.' I hate it when people take my  religious  status  for  confusion.  Why  did  I  have  to  or  not  have  to  believe  in something?","34","4","14","{""VERB"": 10, ""ADV"": 4, ""ADP"": 3, ""NOUN"": 6, ""."": 2, ""PRON"": 5, ""ADJ"": 1, ""PRT"": 2, ""CONJ"": 1}"
"257","Three","37","Ish offered the Frooti to Bittoo Mama. It softened him a little.","12","2","4","{""NOUN"": 4, ""VERB"": 2, ""DET"": 2, ""PRT"": 1, ""PRON"": 2, ""ADJ"": 1}"
"258","Three","38","'What about you?' Mama asked Ish.","7","2","2","{""PRON"": 2, ""ADP"": 1, ""."": 1, ""NOUN"": 2, ""VERB"": 1}"
"259","Three","39","'Hindu, Mama. I pray and everything.' Ish said. Yeah right only when six balls were left in a match.","21","4","6","{""NUM"": 2, ""."": 2, ""NOUN"": 5, ""PRON"": 2, ""VERB"": 4, ""CONJ"": 1, ""ADJ"": 1, ""ADV"": 2, ""ADP"": 1, ""DET"": 1}"
"260","Three","40","Mama  took  a  large  sip  and  shifted  his  gaze  to  Omi  and  Ish  As  far  as  he  was concerned I did not exist.","23","1","10","{""NOUN"": 6, ""VERB"": 6, ""DET"": 1, ""ADJ"": 1, ""CONJ"": 2, ""PRON"": 3, ""PRT"": 1, ""ADV"": 2, ""ADP"": 1}"
"261","Three","41","What did you want to invite us for Mama?' Omi said.","12","2","4","{""PRON"": 3, ""VERB"": 4, ""PRT"": 2, ""ADP"": 1, ""NOUN"": 2}"
"262","Three","42","He lifted the red velvet cloth and unwrapped a three-foot-long brass trishul. Its sharp blades glinted under the shop's tubelight.","21","2","5","{""PRON"": 2, ""VERB"": 3, ""DET"": 3, ""ADJ"": 3, ""NOUN"": 7, ""CONJ"": 1, ""ADP"": 1, ""PRT"": 1}"
"263","Three","43","'It's beautiful. Where did you get it from?' Omi queried.","12","3","4","{""NOUN"": 2, ""PRT"": 1, ""ADJ"": 1, ""ADV"": 1, ""VERB"": 3, ""PRON"": 2, ""ADP"": 1, ""."": 1}"
"264","Three","44","'It  is  a  gift  from  Parekh-ji.  He  said  in  me  he  sees  the  party's  future.  I  worked day  and  night.  We  visited  every  district  in  Gujarat.  He  said,  ""if  we  have  more people  like  Bittoo,  people  will  be  proud  to  be  Hindu  again.""  He  made  me  the recruitment in-charge for young people in Ahmedabad.' Ish and I looked at Omi for footnotes.","68","7","25","{""NOUN"": 19, ""VERB"": 12, ""DET"": 4, ""ADP"": 9, ""PRON"": 10, ""PRT"": 3, ""CONJ"": 2, ""."": 4, ""ADJ"": 4, ""ADV"": 1}"
"265","Three","45","'Parekh-ji is a senior Hindu party leader. And he heads the biggest temple trust in Baroda,' Omi said. 'What, he knows the CM or something, Mama?' 'Parekh-ji  not  only  knows  the  CM,  but  also  talks  to  him  twice  a  day,'  Bittoo Mama  said.  'And  I  told  Parekh-ji  about  you,  Omi.  I  see  in  you  the  potential  to teach Hindu pride to young people.' 'But Mama, I'm working full time...' 'I  am  not  telling  you  to  leave  everything.  But  get  in  touch  with  the  greater responsibilities  we  have.  We  are  not  just  priests  who  speak  memorised  lines  at ceremonies.  We  have  to  make  sure  India's  future  generation  understands Hindutva properly. I want to invite you to a grand feast to Parekh-ji's house. You should come too, Ish. Next Monday in Gandhinagar.' Of course, blasphemous me got no invitation.","157","14","48","{""NOUN"": 42, ""VERB"": 27, ""DET"": 9, ""ADJ"": 10, ""CONJ"": 4, ""PRON"": 19, ""ADP"": 8, ""."": 12, ""PRT"": 16, ""ADV"": 9, ""NUM"": 1}"
"266","Three","46","'Thanks,  Mama.  It  sounds  great,  but  I  don't  know  if  we  can,'  Ish  said.  How come some people are so good at being polite.","29","3","10","{""NOUN"": 5, ""."": 4, ""PRON"": 3, ""VERB"": 8, ""ADJ"": 3, ""CONJ"": 1, ""ADV"": 2, ""ADP"": 2, ""DET"": 1}"
"267","Three","47","'Why? Don't worry, it is not just priests. Many young, working people will also come.' 'I don't like politics,' Ish said.","29","4","6","{""NOUN"": 4, ""VERB"": 10, ""ADV"": 5, ""."": 5, ""PRON"": 2, ""ADJ"": 2, ""PRT"": 1}"
"268","Three","48","'Huh? This isn't politics, son. This is a way of life.' 'I will come,' Omi said.","22","4","5","{""PRT"": 2, ""DET"": 3, ""VERB"": 5, ""ADV"": 1, ""NOUN"": 5, ""."": 4, ""ADP"": 1, ""PRON"": 1}"
"269","Three","49","'But you should come too, Ish. We need young blood.' Ish stayed hesitant.","15","3","3","{""ADP"": 1, ""PRON"": 2, ""VERB"": 4, ""ADV"": 1, ""."": 1, ""NOUN"": 4, ""ADJ"": 1, ""PRT"": 1}"
"270","Three","50","'Oh, you think Parekh-ji is some old, traditional man who will force you to read scriptures.  Do  you  know  where  Parekh-ji  went  to  college?  Cambridge,  and  then Harvard. He had a big hotel business in America, which he sold and came back.","46","4","18","{""NUM"": 1, ""."": 4, ""PRON"": 6, ""VERB"": 11, ""NOUN"": 10, ""DET"": 3, ""ADJ"": 3, ""PRT"": 2, ""ADV"": 3, ""CONJ"": 2, ""ADP"": 1}"
"271","Three","51","He  talks  your  language.  Oh,  and  he  used  to play  cricket  too,  for  the  Cambridge college team.' 'I will come if Govind comes,' said Ish the idiot.","33","3","10","{""PRON"": 4, ""VERB"": 7, ""NOUN"": 8, ""X"": 1, ""."": 5, ""CONJ"": 1, ""PRT"": 2, ""ADV"": 1, ""ADP"": 2, ""DET"": 2}"
"272","Three","52","Mama  looked  at  me.  In  his  eyes,  I  was  the  reason  why  Hindu  culture  had deteriorated lately.","18","2","7","{""NOUN"": 5, ""VERB"": 4, ""ADP"": 2, ""PRON"": 3, ""."": 1, ""DET"": 1, ""ADV"": 2}"
"273","Three","53","'Well, I came to invite the three of you in the first place. He only said he doesn't believe in God.' 'I didn't say that,' I said. Oh, forget it, I thought.","41","4","13","{""X"": 1, ""."": 5, ""PRON"": 8, ""VERB"": 10, ""PRT"": 3, ""DET"": 2, ""NUM"": 1, ""ADP"": 4, ""ADJ"": 1, ""NOUN"": 3, ""ADV"": 3}"
